input,output,status
/Users/user/pipeline/input_from_docker/SRR019002_1.fastq.gz;/Users/user/pipeline/input_from_docker/SRR019002_2.fastq.gz,/Users/user/pipeline/output_from_docker/SRR019002,OK
/Users/user/pipeline/input_from_docker/SRR25800099_1.fastq.gz;/Users/user/pipeline/input_from_docker/SRR25800099_2.fastq.gz,/Users/user/pipeline/output_from_docker/SRR25800099,OK
